route_long_name,route_id,route_type,route_short_name,agency_id,route_desc,route_color,route_text_color
Selefia Mosque ↔ Merab Hotel (Minibus),16006993,3,Tx Kolfa 033,AA,,1779c2,ffffff
Zenebewerk ↔ Asko (Minibus),16007055,3,Tx Kolfa 038,AA,,1779c2,ffffff
Kara Kore ↔ Piassa Arada (Minibus),16007115,3,Tx Kolfa 041,AA,,1779c2,ffffff
Gofa Gebriel ↔ Adey Abeba (Minibus),16007166,3,Tx Lafto 001,AA,,1779c2,ffffff
Jemmo 1 ↔ Cinema Ras (Minibus),16007247,3,Tx Lafto 016,AA,,1779c2,ffffff
Mexico Shebelle Hotel ↔ Lafto (Minibus),16007282,3,Tx Lafto 030,AA,,1779c2,ffffff
Kera ↔ Tafo Square (Minibus),16007348,3,Tx LK 012,AA,,1779c2,ffffff
Abenet ↔ Weleta (Minibus),16007491,3,Tx LID 002,AA,,1779c2,ffffff
Torhayloch ↔ Alem Gena (Minibus),16007565,3,Tx LID 005,AA,,1779c2,ffffff
Weleta ↔ Mexico (Minibus),16007600,3,Tx LID 007,AA,,1779c2,ffffff
Mexico ↔ Amanuel Church (Minibus),16007791,3,Tx LID 008,AA,,1779c2,ffffff
Alem Gena ↔ Abenet (Minibus),16007850,3,Tx LID 013,AA,,1779c2,ffffff
Raguel Church ↔ Megenagna (Minibus),16007931,3,Tx YK 017,AA,,1779c2,ffffff
Autobus Tera ↔ Lamberet MenaherIa (Minibus),16008090,3,Tx YK 019,AA,,1779c2,ffffff
Shola ↔ Piassa Arada (Minibus),16008308,3,Tx YK 021,AA,,1779c2,ffffff
Mexico ↔ Hana Mariam (Minibus),16028728,3,Tx Lafto 006,AA,,1779c2,ffffff
Mexico ↔ Haile Garment (Minibus),16028886,3,Tx Lafto 007,AA,,1779c2,ffffff
Kality Meneharia ↔ Autobis Tera,16067901,3,AB004,AA,,1779c2,ffffff
kera ↔ Addisu Gebeya,16068007,3,AB006,AA,,1779c2,ffffff
Mexico ↔ Gelan Condominium,16068572,3,AB027,AA,,1779c2,ffffff
Kotebe Gebriel ↔ Arat Kilo,16068674,3,AB033,AA,,1779c2,ffffff
Legehar (Old Train Station) ↔ Kara Kore,16068754,3,AB036,AA,,1779c2,ffffff
Yeshi Debele ↔ St. George Church,16068915,3,AB037,AA,,1779c2,ffffff
Legehar (Old Train Station) ↔ Gurara,16069113,3,AB055,AA,,1779c2,ffffff
Saris Abo ↔ Shero Meda,16069192,3,AB056,AA,,1779c2,ffffff
Legehar (Old Train Station) ↔ Alem Bank,16069231,3,AB058,AA,,1779c2,ffffff
Megenagna ↔ Gurara,16069472,3,AB064,AA,,1779c2,ffffff
Autobis Tera ↔ Alem Bank,16069558,3,AB065,AA,,1779c2,ffffff
Kara Kore ↔ Autobis Tera,16070513,3,AB066,AA,,1779c2,ffffff
Menlik Hospital ↔ Torhailoch,16070566,3,AB068,AA,,1779c2,ffffff
Ayer Tena ↔ Abuare Roundabout,16071249,3,AB070,AA,,1779c2,ffffff
Kera ↔ Ayer Tena,16071322,3,AB077,AA,,1779c2,ffffff
Yerer Goro ↔ Mexico,16071554,3,AB029,AA,,1779c2,ffffff
Betel ↔ Legehar (Old Train Station),16071657,3,AB090,AA,,1779c2,ffffff
Hana Mariam ↔ Darmar,16071828,3,AB092,AA,,1779c2,ffffff
Piassa Arada ↔ Mikili Land,16072018,3,AB094,AA,,1779c2,ffffff
Alem Bank ↔ Ayer Tena,16072169,3,AB099,AA,,1779c2,ffffff
Jemmo 3 ↔ Autobis Tera,16072247,3,AB100,AA,,1779c2,ffffff
Kara ↔ Legehar (Old Train Station),16072458,3,AB102,AA,,1779c2,ffffff
Anfo Meda ↔ Legehar (Old Train Station),16074160,3,AB105,AA,,1779c2,ffffff
Saris Abo ↔ Tulu Dimtu Adebabay,16074208,3,AB109,AA,,1779c2,ffffff
Sefera ↔ Mexico,16074342,3,AB117,AA,,1779c2,ffffff
Dil Ber ↔ Legehar (Old Train Station),16074676,3,AB045,AA,,1779c2,ffffff
Legehar (Old Train Station) ↔ Sebeta,16074771,3,AB062,AA,,1779c2,ffffff
Gerji Mebrat Haile ↔ Darmar,16074871,3,AB071,AA,,1779c2,ffffff
Piassa Arada ↔ Gefersa,16075030,3,AB111,AA,,1779c2,ffffff
Sansusi ↔ Autobis Tera,16086556,3,SH012,AA,,1779c2,ffffff
Ayer Tena ↔ Autobis Tera (2),16088269,3,SH009,AA,,1779c2,ffffff
Megenagna Terminal ↔ Bole Arabsa,16088616,3,D46,AA,,1779c2,ffffff
Shero Meda ↔ Megenagna,16088617,3,SH035,AA,,1779c2,ffffff
Mexico ↔ Hana Mariam (2),16088618,3,SH022,AA,,1779c2,ffffff
Bole Millenium ↔ 4 Kilo,16088619,3,SH015,AA,,1779c2,ffffff
Gurara ↔ Autobis Tera,16112803,3,AB012,AA,,1779c2,ffffff
Megenagna ↔ Aleltu,16112804,3,AB007,AA,,1779c2,ffffff
Legehar (Old Train Station) ↔ Akaki Korkoro,16112805,3,AB025,AA,,1779c2,ffffff
Sansusi ↔ Piassa Arada,16112806,3,AB019,AA,,1779c2,ffffff
Shero Meda ↔ Legehar (Old Train Station),16113471,3,AB031,AA,,1779c2,ffffff
Holeta ↔ Merkato,16148441,3,AB085,AA,,1779c2,ffffff
Legehar (Old Train Station) ↔ Jemmo 3,16148442,3,AB067,AA,,1779c2,ffffff
Sululta ↔ Autobis Tera,16148443,3,AB030,AA,,1779c2,ffffff
Summit Condominuiums ↔ Arat Kilo,16151480,3,AB079,AA,,1779c2,ffffff
File Doro ↔ Autobis Tera,16151481,3,AB021,AA,,1779c2,ffffff
Saris Abo ↔ Dukem,16239079,3,AB098,AA,,1779c2,ffffff
Legehar (Old Train Station) ↔ DebreZeit,16239080,3,AB060,AA,,1779c2,ffffff
Addisu Gebeya ↔ Bole Mickael,16290773,3,AB048,AA,,1779c2,ffffff
Legehar (Old Train Station) ↔ Kara,16290774,3,AB057,AA,,1779c2,ffffff
Summit Condominiums ↔ Legehar (Old Train Station),16290775,3,AB022,AA,,1779c2,ffffff
Mekanisa Kore ↔ Autobis Tera,16761109,3,AB002,AA,,1779c2,ffffff
St. George Church ↔ Mekanisa Kore,16761258,3,AB005,AA,,1779c2,ffffff
Summit Condominiums ↔ Piassa Arada,16761408,3,AB011,AA,,1779c2,ffffff
Menagesha ↔ Autobis Tera,16761711,3,AB043,AA,,1779c2,ffffff
Piassa Arada ↔ Bethel,16761937,3,AB059,AA,,1779c2,ffffff
Mikili Land ↔ Autobis Tera,16763531,3,AB063,AA,,1779c2,ffffff
Saris ↔ Hana Mariam,16763585,3,AB072,AA,,1779c2,ffffff
Winget ↔ Stadium,16763690,3,AB073,AA,,1779c2,ffffff
Shero Meda ↔ Megenagna,16763761,3,AB080,AA,,1779c2,ffffff
Saris Abo ↔ Ayer Tena,16763787,3,AB086,AA,,1779c2,ffffff
Megenagna ↔ Bole Bulbula,16763889,3,AB093,AA,,1779c2,ffffff
Piassa Arada ↔ Addis Sefer,16764498,3,AB108,AA,,1779c2,ffffff
Megenagna ↔ Kilinto,16764670,3,AB120,AA,,1779c2,ffffff
Entoto Mariam ↔ 4 Kilo,16764708,3,AB122,AA,,1779c2,ffffff
Tulu Dimtu ↔ Megenagna,16764849,3,AB124,AA,,1779c2,ffffff
Piassa Arada ↔ Bole Arabsa,16765470,3,AB126,AA,,1779c2,ffffff
Megenagna ↔ Ayer Tena,16765619,3,AB130,AA,,1779c2,ffffff
Koye Feche ↔ Piassa Arada,16765723,3,AB131,AA,,1779c2,ffffff
Raguel Church ↔ Kechenie,16793879,3,AB008,AA,,1779c2,ffffff
Piassa Arada ↔ Jemmo 3,16794104,3,AB103,AA,,1779c2,ffffff
Tulu Dimtu ↔ Piassa Arada,16794335,3,AB107,AA,,1779c2,ffffff
Megenagna ↔ Addisu Gebeya,16794581,3,AB112,AA,,1779c2,ffffff
Megenagna ↔ Koye Feche,16794648,3,AB113,AA,,1779c2,ffffff
Kela ↔ Autobis Tera,16794702,3,AB118,AA,,1779c2,ffffff
Summit Condominiums ↔ Megenagna Terminal,16794769,3,AB119,AA,,1779c2,ffffff
Megenagna ↔ Haile Garment,16794971,3,AB125,AA,,1779c2,ffffff
Yeka Abado ↔ Mexico,16795336,3,AB128,AA,,1779c2,ffffff
Bole Arabsa ↔ Mexico,16798923,3,AB127,AA,,1779c2,ffffff
Raguel Church ↔ Bela Mazorya,16799067,3,AB013,AA,,1779c2,ffffff
Raguel Church ↔ Dil Ber,16799388,3,AB020,AA,,1779c2,ffffff
Lamberet ↔ Autobis Tera,16799566,3,AB023,AA,,1779c2,ffffff
Raguel Church ↔ Kera,16799821,3,AB040,AA,,1779c2,ffffff
Summit Condominiums ↔ Bole,16799950,3,AB042,AA,,1779c2,ffffff
Gerji ↔ Arat Kilo,16800759,3,AB046,AA,,1779c2,ffffff
Mexico ↔ Alem Gena,16803209,3,AB050,AA,,1779c2,ffffff
Bethel ↔ Autobis Tera,16803318,3,AB051,AA,,1779c2,ffffff
Gerji ↔ Autobis Tera,16803475,3,AB052,AA,,1779c2,ffffff
Mexico ↔ Lafto,16803572,3,AB054,AA,,1779c2,ffffff
Megenagna ↔ Jemmo 2,16804052,3,AB078,AA,,1779c2,ffffff
Sansusi ↔ Megenagna,16804748,3,AB081,AA,,1779c2,ffffff
Sendafa ↔ Raguel Church,16807402,3,AB089,AA,,1779c2,ffffff
Yeka Abado ↔ Piassa Arada,16807587,3,AB129,AA,,1779c2,ffffff
Sebeta ↔ Autobis Tera,16810442,3,AB026,AA,,1779c2,ffffff
Piassa Arada ↔ Ajamba,16813413,3,SH100,AA,,1779c2,ffffff
Piassa Arada ↔ Ferensay,16813486,3,SH101,AA,,1779c2,ffffff
St. George Church ↔ Addisu Gebeya,16813875,3,SH103,AA,,1779c2,ffffff
Megenagna Terminal ↔ Aba Kiros Roundabout,16814055,3,SH066,AA,,1779c2,ffffff
Mexico ↔ Aba Kiros,16814777,3,SH067,AA,,1779c2,ffffff
Mexico ↔ Kara Kore,16814864,3,SH068,AA,,1779c2,ffffff
Sebeta ↔ Ayer Tena,16815120,3,SH069,AA,,1779c2,ffffff
Yeka Abado ↔ Mexico,16815233,3,SH070,AA,,1779c2,ffffff
Piassa Arada ↔ Betel,16815447,3,SH071,AA,,1779c2,ffffff
Mexico ↔ Bole Bridge,16815552,3,SH072,AA,,1779c2,ffffff
Mexico ↔ Gurara,16815658,3,SH073,AA,,1779c2,ffffff
Mexico ↔ Haile Garment,16815683,3,SH074,AA,,1779c2,ffffff
Mexico ↔ Jemmo 2,16815787,3,SH075,AA,,1779c2,ffffff
Yeshi Debele ↔ Autobis Tera,16816053,3,SH076,AA,,1779c2,ffffff
Yeka Abado ↔ Tulu Dimtu,16817583,3,SH077,AA,,1779c2,ffffff
Summit Condominiums ↔ Bole,16817599,3,SH078,AA,,1779c2,ffffff
Bole Bridge ↔ Addisu Gebeya,16817834,3,SH079,AA,,1779c2,ffffff
Megenagna ↔ Addisu Gebeya,16817865,3,SH080,AA,,1779c2,ffffff
Megenagna ↔ Ayer Tena,16817897,3,SH081,AA,,1779c2,ffffff
Megenagna ↔ Bole Bulbula,16817958,3,SH082,AA,,1779c2,ffffff
Kality Meneharia ↔ Bole Bridge,16819131,3,SH083,AA,,1779c2,ffffff
Jemo 1 ↔ Autobis Tera,16819161,3,SH085,AA,,1779c2,ffffff
Stadium ↔ Kality Meneharia,16820941,3,SH086,AA,,1779c2,ffffff
Gurara ↔ 4 Kilo,16820954,3,SH087,AA,,1779c2,ffffff
Yeshi Total ↔ Tulu Dimtu Adebabay,16820988,3,SH088,AA,,1779c2,ffffff
Megenagna ↔ Haile Garment,16821152,3,SH089,AA,,1779c2,ffffff
Saris ↔ Kality Meneharia,16821389,3,SH090,AA,,1779c2,ffffff
Saris ↔ Koye Feche,16821505,3,SH091,AA,,1779c2,ffffff
Megenagna ↔ Saris Abo,16821697,3,SH092,AA,,1779c2,ffffff
Yeshi Total ↔ Saris Abo,16822289,3,SH093,AA,,1779c2,ffffff
Megenagna ↔ Ferensay,16822421,3,SH095,AA,,1779c2,ffffff
Megenagna ↔ Gelan Condominium,16822501,3,SH096,AA,,1779c2,ffffff
Sululta ↔ Addisu Gebeya,16822668,3,SH097,AA,,1779c2,ffffff
Piassa Arada ↔ Bole Bridge,16822706,3,SH099,AA,,1779c2,ffffff
Legedadi ↔ Megenagna,17008501,3,AB044,AA,,1779c2,ffffff
Tafo Square ↔ Piassa Arada,17008592,3,AB001,AA,,1779c2,ffffff
Piassa Arada ↔ Bole Bulbula,17008890,3,AB014,AA,,1779c2,ffffff
Raguel Church ↔ Megenagna,17010982,3,AB015,AA,,1779c2,ffffff
Kidane Mihret ↔ Raguel Church,17011008,3,AB016,AA,,1779c2,ffffff
Entoto Mariam ↔ Raguel Church,17011060,3,AB017,AA,,1779c2,ffffff
Mexico ↔ Koye Feche,17032690,3,AB106,AA,,1779c2,ffffff
Tulu Dimtu ↔ Mexico,17032741,3,AB121,AA,,1779c2,ffffff
Piassa Arada ↔ Alem Bank Silase,17032887,3,AB123,AA,,1779c2,ffffff
Megenagna ↔ Gelan Condominium,17033336,3,AB076,AA,,1779c2,ffffff
Yerer Goro ↔ Megenagna,17034807,3,AB082,AA,,1779c2,ffffff
Merkato ↔ Addis Alem,17039849,3,AB095,AA,,1779c2,ffffff
Addisu Gebeya ↔ Kality Menaheria,17047999,3,AB104,AA,,1779c2,ffffff
Dire Sololiya ↔ Autobis Tera,17052323,3,AB024,AA,,1779c2,ffffff
Mexico ↔ Kara Kore,17071085,3,AB036 (S),AA,,1779c2,ffffff
Piassa Arada ↔ Jemmo 1,17071140,3,SH105,AA,,1779c2,ffffff
Alem Bank ↔ Mexico,17073030,3,AB058 (S),AA,,1779c2,ffffff
Teji ↔ Merkato,17082329,3,AB091,AA,,1779c2,ffffff
Yeshi Debele ↔ Ayer Tena (Minibus),17332228,3,Kolfe 042,AA,,1779c2,ffffff
Goro ↔ Abem Mebrat (Minibus),17332229,3,LK 015,AA,,1779c2,ffffff
Megenagna ↔ Hana Mariam (Minibus),17332230,3,Lafto 044,AA,,1779c2,ffffff
Kality Total ↔ Hana Mariam (Minibus),17332231,3,Lafto 045,AA,,1779c2,ffffff
Chancho ↔ Autobis Tera,17332417,3,AB088,AA,,1779c2,ffffff
Ayat ↔ Tor Hailoch (Light Rail),5697658,0,E-W,AA,,1779c2,ffffff
Menelik II Square ↔ Kality (Light Rail),5697659,0,S-N,AA,,1779c2,ffffff
6 Kilo ↔ Bole Mickael,17065220,3,AB053,AA,,1779c2,ffffff
